2	ConsolidationSleep	Input.md	0	0	0	YES
2	ConsolidationSleep	Input_burst_stress.md	0	4.87013	0	YES
2	ConsolidationSleep	Input_low_intensity.md	0	0	0	YES
2	ConsolidationSleep	Input_memory_pressure.md	0	0	0	YES
2	ConsolidationSleep	Input_heterogeneous_mix.md	0	0	0	YES
2	ConsolidationSleep	Input_contrast_tradeoff.md	0	0	0	YES
2	ConsolidationSleep	match.md	0	0	0	YES
2	ConsolidationSleep	day.md	124	NA	NA	NO
2	ConsolidationSleep	gentler_hour.md	0	0	0	YES
2	ConsolidationSleep	smooth.md	0	0	0	YES
2	ConsolidationSleep	spike_nefarious.md	0	0	0	YES
